"","UNIQUE_CARRIER","YEAR","MONTH","DAY_OF_MONTH","count","c_rate","cancel","lower","upper","date","airline"
"1","9E",2010,1,1,522,0,0,0,0.00704190762872414,"2010-1-1",NA
"2","9E",2010,1,2,725,0.0358620689655172,26,0.0235575188020339,0.0521065818005055,"2010-1-2",NA
"3","9E",2010,1,3,724,0.0524861878453039,38,0.037406523563204,0.0713326389421802,"2010-1-3",NA
"4","9E",2010,1,4,707,0.0155586987270156,11,0.00779176702156403,0.0276679616878244,"2010-1-4",NA
"5","9E",2010,1,5,735,0.0149659863945578,11,0.00749401912205605,0.0266202017762494,"2010-1-5",NA
"6","9E",2010,1,6,751,0.0426098535286285,32,0.0293246535820147,0.0596224673953774,"2010-1-6",NA
"7","9E",2010,1,7,756,0.138888888888889,105,0.115022762831885,0.165611391358779,"2010-1-7",NA
"8","9E",2010,1,8,761,0.0367936925098555,28,0.0245858062214965,0.0527400639824617,"2010-1-8",NA
"9","9E",2010,1,9,554,0.00541516245487365,3,0.00111813193146248,0.0157432163767891,"2010-1-9",NA
"10","9E",2010,1,10,701,0.0199714693295292,14,0.0109605489601334,0.0332818894278585,"2010-1-10",NA
"11","9E",2010,1,11,751,0.0173102529960053,13,0.00924835496782128,0.029419161373581,"2010-1-11",NA
"12","9E",2010,1,12,742,0.0188679245283019,14,0.0103527054265683,0.0314547069387733,"2010-1-12",NA
"13","9E",2010,1,13,752,0.00930851063829787,7,0.00375046155399761,0.0190845457113448,"2010-1-13",NA
"14","9E",2010,1,14,753,0.00929614873837981,7,0.00374547026712968,0.019059326272893,"2010-1-14",NA
"15","9E",2010,1,15,757,0.00924702774108322,7,0.0037256372693395,0.0189591115309774,"2010-1-15",NA
"16","9E",2010,1,16,545,0.0110091743119266,6,0.00405059182164025,0.0238074257658368,"2010-1-16",NA
"17","9E",2010,1,17,608,0.0213815789473684,13,0.0114327357252482,0.0362856294705514,"2010-1-17",NA
"18","9E",2010,1,18,736,0.0285326086956522,21,0.0177470384602862,0.0432856422202924,"2010-1-18",NA
"19","9E",2010,1,19,743,0.0242261103633917,18,0.0144196773768492,0.0380182321257406,"2010-1-19",NA
"20","9E",2010,1,20,753,0.0146082337317397,11,0.00731433818277683,0.0259875491525259,"2010-1-20",NA
"21","9E",2010,1,21,756,0.0119047619047619,9,0.00545766865800346,0.0224782076139463,"2010-1-21",NA
"22","9E",2010,1,22,761,0.0275952693823916,21,0.0171612956227286,0.0418741297883968,"2010-1-22",NA
"23","9E",2010,1,23,554,0.01985559566787,11,0.00995249827832023,0.0352489354480218,"2010-1-23",NA
"24","9E",2010,1,24,702,0.0754985754985755,53,0.0570621126049369,0.0975932783777539,"2010-1-24",NA
